% Model:              VerificationExample_7-3.mph
% Version:            COMSOL 5.3.1.201
% Date:               Feb 6 2018, 14:19
% Table:              Table 1 {tbl1} - Point Evaluation 1 {pev1} (sigma_uni)
% T_in (K)               ep_in                    sigma_uni, Point: 2
293.15                   0                        0
293.15                   5.0E-4                   105000000
293.15                   0.001                    210000000
293.15                   0.0015                   315000000
293.15                   0.002                    420000000
293.15                   0.0025                   525000000
293.15                   0.003                    630000000
293.15                   0.0035                   650000000
293.15                   0.004                    650000000
293.15                   0.0045000000000000005    650000000
293.15                   0.005                    650000000
293.15                   0.0055                   650000000
293.15                   0.006                    650000000
293.15                   0.006500000000000001     650000000
293.15                   0.007                    650000000
293.15                   0.0075                   650000000
293.15                   0.008                    650000000
293.15                   0.0085                   650000000
293.15                   0.009000000000000001     650000000
293.15                   0.0095                   650000000
293.15                   0.01                     650000000
293.15                   0.0105                   650000000
293.15                   0.011                    650000000
293.15                   0.0115                   650000000
293.15                   0.012                    650000000
293.15                   0.0125                   650000000
293.15                   0.013000000000000001     650000000
293.15                   0.0135                   650000000
293.15                   0.014                    650000000
293.15                   0.0145                   650000000
293.15                   0.015                    650000000
293.15                   0.0155                   650000000
293.15                   0.016                    650000000
293.15                   0.0165                   650000000
293.15                   0.017                    650000000
293.15                   0.0175                   650000000
293.15                   0.018000000000000002     650000000
293.15                   0.0185                   650000000
293.15                   0.019                    650000000
293.15                   0.0195                   650000000
293.15                   0.02                     650000000
294.15                   0                        0
294.15                   5.0E-4                   105000000
294.15                   0.001                    210000000
294.15                   0.0015                   315000000
294.15                   0.002                    420000000
294.15                   0.0025                   525000000
294.15                   0.003                    630000000
294.15                   0.0035                   650000000
294.15                   0.004                    650000000
294.15                   0.0045000000000000005    650000000
294.15                   0.005                    650000000
294.15                   0.0055                   650000000
294.15                   0.006                    650000000
294.15                   0.006500000000000001     650000000
294.15                   0.007                    650000000
294.15                   0.0075                   650000000
294.15                   0.008                    650000000
294.15                   0.0085                   650000000
294.15                   0.009000000000000001     650000000
294.15                   0.0095                   650000000
294.15                   0.01                     650000000
294.15                   0.0105                   650000000
294.15                   0.011                    650000000
294.15                   0.0115                   650000000
294.15                   0.012                    650000000
294.15                   0.0125                   650000000
294.15                   0.013000000000000001     650000000
294.15                   0.0135                   650000000
294.15                   0.014                    650000000
294.15                   0.0145                   650000000
294.15                   0.015                    650000000
294.15                   0.0155                   650000000
294.15                   0.016                    650000000
294.15                   0.0165                   650000000
294.15                   0.017                    650000000
294.15                   0.0175                   650000000
294.15                   0.018000000000000002     650000000
294.15                   0.0185                   650000000
294.15                   0.019                    650000000
294.15                   0.0195                   650000000
294.15                   0.02                     650000000
295.15                   0                        0
295.15                   5.0E-4                   105000000
295.15                   0.001                    210000000
295.15                   0.0015                   315000000
295.15                   0.002                    420000000
295.15                   0.0025                   525000000
295.15                   0.003                    630000000
295.15                   0.0035                   650000000
295.15                   0.004                    650000000
295.15                   0.0045000000000000005    650000000
295.15                   0.005                    650000000
295.15                   0.0055                   650000000
295.15                   0.006                    650000000
295.15                   0.006500000000000001     650000000
295.15                   0.007                    650000000
295.15                   0.0075                   650000000
295.15                   0.008                    650000000
295.15                   0.0085                   650000000
295.15                   0.009000000000000001     650000000
295.15                   0.0095                   650000000
295.15                   0.01                     650000000
295.15                   0.0105                   650000000
295.15                   0.011                    650000000
295.15                   0.0115                   650000000
295.15                   0.012                    650000000
295.15                   0.0125                   650000000
295.15                   0.013000000000000001     650000000
295.15                   0.0135                   650000000
295.15                   0.014                    650000000
295.15                   0.0145                   650000000
295.15                   0.015                    650000000
295.15                   0.0155                   650000000
295.15                   0.016                    650000000
295.15                   0.0165                   650000000
295.15                   0.017                    650000000
295.15                   0.0175                   650000000
295.15                   0.018000000000000002     650000000
295.15                   0.0185                   650000000
295.15                   0.019                    650000000
295.15                   0.0195                   650000000
295.15                   0.02                     650000000
296.15                   0                        0
296.15                   5.0E-4                   105000000
296.15                   0.001                    210000000
296.15                   0.0015                   315000000
296.15                   0.002                    420000000
296.15                   0.0025                   525000000
296.15                   0.003                    630000000
296.15                   0.0035                   650000000
296.15                   0.004                    650000000
296.15                   0.0045000000000000005    650000000
296.15                   0.005                    650000000
296.15                   0.0055                   650000000
296.15                   0.006                    650000000
296.15                   0.006500000000000001     650000000
296.15                   0.007                    650000000
296.15                   0.0075                   650000000
296.15                   0.008                    650000000
296.15                   0.0085                   650000000
296.15                   0.009000000000000001     650000000
296.15                   0.0095                   650000000
296.15                   0.01                     650000000
296.15                   0.0105                   650000000
296.15                   0.011                    650000000
296.15                   0.0115                   650000000
296.15                   0.012                    650000000
296.15                   0.0125                   650000000
296.15                   0.013000000000000001     650000000
296.15                   0.0135                   650000000
296.15                   0.014                    650000000
296.15                   0.0145                   650000000
296.15                   0.015                    650000000
296.15                   0.0155                   650000000
296.15                   0.016                    650000000
296.15                   0.0165                   650000000
296.15                   0.017                    650000000
296.15                   0.0175                   650000000
296.15                   0.018000000000000002     650000000
296.15                   0.0185                   650000000
296.15                   0.019                    650000000
296.15                   0.0195                   650000000
296.15                   0.02                     650000000
297.15                   0                        0
297.15                   5.0E-4                   105000000
297.15                   0.001                    210000000
297.15                   0.0015                   315000000
297.15                   0.002                    420000000
297.15                   0.0025                   525000000
297.15                   0.003                    630000000
297.15                   0.0035                   650000000
297.15                   0.004                    650000000
297.15                   0.0045000000000000005    650000000
297.15                   0.005                    650000000
297.15                   0.0055                   650000000
297.15                   0.006                    650000000
297.15                   0.006500000000000001     650000000
297.15                   0.007                    650000000
297.15                   0.0075                   650000000
297.15                   0.008                    650000000
297.15                   0.0085                   650000000
297.15                   0.009000000000000001     650000000
297.15                   0.0095                   650000000
297.15                   0.01                     650000000
297.15                   0.0105                   650000000
297.15                   0.011                    650000000
297.15                   0.0115                   650000000
297.15                   0.012                    650000000
297.15                   0.0125                   650000000
297.15                   0.013000000000000001     650000000
297.15                   0.0135                   650000000
297.15                   0.014                    650000000
297.15                   0.0145                   650000000
297.15                   0.015                    650000000
297.15                   0.0155                   650000000
297.15                   0.016                    650000000
297.15                   0.0165                   650000000
297.15                   0.017                    650000000
297.15                   0.0175                   650000000
297.15                   0.018000000000000002     650000000
297.15                   0.0185                   650000000
297.15                   0.019                    650000000
297.15                   0.0195                   650000000
297.15                   0.02                     650000000
298.15                   0                        0
298.15                   5.0E-4                   105000000
298.15                   0.001                    210000000
298.15                   0.0015                   315000000
298.15                   0.002                    420000000
298.15                   0.0025                   525000000
298.15                   0.003                    630000000
298.15                   0.0035                   650000000
298.15                   0.004                    650000000
298.15                   0.0045000000000000005    650000000
298.15                   0.005                    650000000
298.15                   0.0055                   650000000
298.15                   0.006                    650000000
298.15                   0.006500000000000001     650000000
298.15                   0.007                    650000000
298.15                   0.0075                   650000000
298.15                   0.008                    650000000
298.15                   0.0085                   650000000
298.15                   0.009000000000000001     650000000
298.15                   0.0095                   650000000
298.15                   0.01                     650000000
298.15                   0.0105                   650000000
298.15                   0.011                    650000000
298.15                   0.0115                   650000000
298.15                   0.012                    650000000
298.15                   0.0125                   650000000
298.15                   0.013000000000000001     650000000
298.15                   0.0135                   650000000
298.15                   0.014                    650000000
298.15                   0.0145                   650000000
298.15                   0.015                    650000000
298.15                   0.0155                   650000000
298.15                   0.016                    650000000
298.15                   0.0165                   650000000
298.15                   0.017                    650000000
298.15                   0.0175                   650000000
298.15                   0.018000000000000002     650000000
298.15                   0.0185                   650000000
298.15                   0.019                    650000000
298.15                   0.0195                   650000000
298.15                   0.02                     650000000
299.15                   0                        0
299.15                   5.0E-4                   105000000
299.15                   0.001                    210000000
299.15                   0.0015                   315000000
299.15                   0.002                    420000000
299.15                   0.0025                   525000000
299.15                   0.003                    630000000
299.15                   0.0035                   650000000
299.15                   0.004                    650000000
299.15                   0.0045000000000000005    650000000
299.15                   0.005                    650000000
299.15                   0.0055                   650000000
299.15                   0.006                    650000000
299.15                   0.006500000000000001     650000000
299.15                   0.007                    650000000
299.15                   0.0075                   650000000
299.15                   0.008                    650000000
299.15                   0.0085                   650000000
299.15                   0.009000000000000001     650000000
299.15                   0.0095                   650000000
299.15                   0.01                     650000000
299.15                   0.0105                   650000000
299.15                   0.011                    650000000
299.15                   0.0115                   650000000
299.15                   0.012                    650000000
299.15                   0.0125                   650000000
299.15                   0.013000000000000001     650000000
299.15                   0.0135                   650000000
299.15                   0.014                    650000000
299.15                   0.0145                   650000000
299.15                   0.015                    650000000
299.15                   0.0155                   650000000
299.15                   0.016                    650000000
299.15                   0.0165                   650000000
299.15                   0.017                    650000000
299.15                   0.0175                   650000000
299.15                   0.018000000000000002     650000000
299.15                   0.0185                   650000000
299.15                   0.019                    650000000
299.15                   0.0195                   650000000
299.15                   0.02                     650000000
300.15                   0                        0
300.15                   5.0E-4                   105000000
300.15                   0.001                    210000000
300.15                   0.0015                   315000000
300.15                   0.002                    420000000
300.15                   0.0025                   525000000
300.15                   0.003                    630000000
300.15                   0.0035                   650000000
300.15                   0.004                    650000000
300.15                   0.0045000000000000005    650000000
300.15                   0.005                    650000000
300.15                   0.0055                   650000000
300.15                   0.006                    650000000
300.15                   0.006500000000000001     650000000
300.15                   0.007                    650000000
300.15                   0.0075                   650000000
300.15                   0.008                    650000000
300.15                   0.0085                   650000000
300.15                   0.009000000000000001     650000000
300.15                   0.0095                   650000000
300.15                   0.01                     650000000
300.15                   0.0105                   650000000
300.15                   0.011                    650000000
300.15                   0.0115                   650000000
300.15                   0.012                    650000000
300.15                   0.0125                   650000000
300.15                   0.013000000000000001     650000000
300.15                   0.0135                   650000000
300.15                   0.014                    650000000
300.15                   0.0145                   650000000
300.15                   0.015                    650000000
300.15                   0.0155                   650000000
300.15                   0.016                    650000000
300.15                   0.0165                   650000000
300.15                   0.017                    650000000
300.15                   0.0175                   650000000
300.15                   0.018000000000000002     650000000
300.15                   0.0185                   650000000
300.15                   0.019                    650000000
300.15                   0.0195                   650000000
300.15                   0.02                     650000000
301.15                   0                        0
301.15                   5.0E-4                   105000000
301.15                   0.001                    210000000
301.15                   0.0015                   315000000
301.15                   0.002                    420000000
301.15                   0.0025                   525000000
301.15                   0.003                    630000000
301.15                   0.0035                   650000000
301.15                   0.004                    650000000
301.15                   0.0045000000000000005    650000000
301.15                   0.005                    650000000
301.15                   0.0055                   650000000
301.15                   0.006                    650000000
301.15                   0.006500000000000001     650000000
301.15                   0.007                    650000000
301.15                   0.0075                   650000000
301.15                   0.008                    650000000
301.15                   0.0085                   650000000
301.15                   0.009000000000000001     650000000
301.15                   0.0095                   650000000
301.15                   0.01                     650000000
301.15                   0.0105                   650000000
301.15                   0.011                    650000000
301.15                   0.0115                   650000000
301.15                   0.012                    650000000
301.15                   0.0125                   650000000
301.15                   0.013000000000000001     650000000
301.15                   0.0135                   650000000
301.15                   0.014                    650000000
301.15                   0.0145                   650000000
